hora,fecha,año,calle,cruce,tipo_accidente,causa_accidente,lesionados,fallecidos,totales,lat,lon
7:21:00,19/10/2016,2016,MANUEL J. CLOUTHIER,BERNARDO REYES,Atropello,Distraccion,1,0,1,25.678217,-100.403396
14:20:00,02/03/2017,2017,MANUEL J. CLOUTHIER,CORREGIDORA,Atropello,Distraccion,1,0,1,25.677911,-100.402392
18:18:00,02/08/2018,2018,MANUEL J. CLOUTHIER,CORREGIDORA,Atropello,Otros,1,0,1,25.677911,-100.40239
21:15:00,11/04/2019,2019,MANUEL J. CLOUTHIER,ORO,Atropello,Otros,3,0,3,25.680913,-100.416926
22:49:00,11/03/2018,2018,MARIA CANTU,LUCIO BLANCO,Atropello,Viro indebidamente,2,0,2,25.669979,-100.407432
9:15:00,16/04/2019,2019,MARIA DE LOS ANGELES,PRIVADA LOS ANGELES,Atropello,Distraccion,0,2,2,25.639111,-100.392694
21:14:00,16/05/2017,2017,MIRADOR DEL CAMPESTRE ,SAN ALBERTO,Atropello,Distraccion,1,0,1,25.656535,-100.336694
12:10:00,05/05/2016,2016,MONTE AVENTINO,MONTE AVENTINO,Atropello,Otros,1,1,2,25.666489,-100.360673
17:46:00,08/02/2018,2018,MONTES ROCALLOSOS,SIERRA NEVADA,Atropello,Otros,1,0,1,25.652967,-100.340522
11:23:00,16/04/2018,2018,MORELOS,REFORMA,Atropello,Viro indebidamente,1,0,1,25.6638,-100.401905
1:53,10/11/2015,2015,MORONES PRIETO,CANTERAS,Atropello,Viro indebidamente,0,1,1,25.671193,-100.396207
20:38:00,24/11/2016,2016,MORONES PRIETO,HUMBERTO LOBO,Atropello,Otros,0,1,1,25.667672,-100.379830
21:14:00,30/09/2017,2017,MORONES PRIETO,RIO BRAVO,Atropello,Otros,0,1,1,25.667685,-100.376308
1:13:00,21/07/2019,2019,MORONES PRIETO,HUMBERTO LOBO,Atropello,Otros,0,1,1,25.667672,-100.37983
12:34,05/02/2015,2015,MORONES PRIETO,LIBERTAD,Atropello,Distraccion,1,0,1,25.666938,-100.407911
12:37,22/02/2015,2015,MORONES PRIETO,JIMENEZ,Atropello,Distraccion,1,0,1,25.666827,-100.408304
23:04,07/05/2015,2015,MORONES PRIETO,NIÑOS HEROES,Atropello,Otros,1,0,1,25.668435,-100.405484
15:30,13/07/2015,2015,MORONES PRIETO,RIO SUCHIATE,Atropello,Otros,1,0,1,25.6676505,-100.374083
11:14,26/07/2015,2015,MORONES PRIETO,FERNANDO DAVILA REYES,Atropello,Otros,1,0,1,25.6714942,-100.392462
16:15,09/08/2015,2015,MORONES PRIETO,HORTELANOS,Atropello,Otros,1,0,1,25.6708413,-100.394724
7:54,03/12/2015,2015,MORONES PRIETO,LIBERTAD,Atropello,Sin Dato,1,0,1,25.666938,-100.407911
15:16:00,11/02/2016,2016,MORONES PRIETO,JIMENEZ,Atropello,Otros,1,0,1,25.666827,-100.408300
23:07:00,13/07/2016,2016,MORONES PRIETO,HUMBERTO LOBO,Atropello,Distraccion,1,0,1,25.667672,-100.379830
19:25:00,30/12/2017,2017,MORONES PRIETO,HUMBERTO LOBO,Atropello,Otros,1,0,1,25.667672,-100.37983
13:39:00,18/06/2018,2018,MORONES PRIETO,CALZADA SAN PEDRO,Atropello,Exceso de dimensiones,1,0,1,25.668013,-100.36653
